Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             20	         6	00100080	7390906f	jal	x0,109fb8	  x0=0x00000000
             22	         7	00109fb8	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
             24	         8	00109fbc	00008113	addi	x2,x1,0	  x1:0x00000000  x2=0x00000000
             26	         9	00109fc0	00008193	addi	x3,x1,0	  x1:0x00000000  x3=0x00000000
             28	        10	00109fc4	00008213	addi	x4,x1,0	  x1:0x00000000  x4=0x00000000
             30	        11	00109fc8	00008293	addi	x5,x1,0	  x1:0x00000000  x5=0x00000000
             32	        12	00109fcc	00008313	addi	x6,x1,0	  x1:0x00000000  x6=0x00000000
             34	        13	00109fd0	00008393	addi	x7,x1,0	  x1:0x00000000  x7=0x00000000
             36	        14	00109fd4	00008413	addi	x8,x1,0	  x1:0x00000000  x8=0x00000000
             38	        15	00109fd8	00008493	addi	x9,x1,0	  x1:0x00000000  x9=0x00000000
             40	        16	00109fdc	00008513	addi	x10,x1,0	  x1:0x00000000 x10=0x00000000
             42	        17	00109fe0	00008593	addi	x11,x1,0	  x1:0x00000000 x11=0x00000000
             44	        18	00109fe4	00008613	addi	x12,x1,0	  x1:0x00000000 x12=0x00000000
             46	        19	00109fe8	00008693	addi	x13,x1,0	  x1:0x00000000 x13=0x00000000
             48	        20	00109fec	00008713	addi	x14,x1,0	  x1:0x00000000 x14=0x00000000
             50	        21	00109ff0	00008793	addi	x15,x1,0	  x1:0x00000000 x15=0x00000000
             52	        22	00109ff4	00008813	addi	x16,x1,0	  x1:0x00000000 x16=0x00000000
             54	        23	00109ff8	00008893	addi	x17,x1,0	  x1:0x00000000 x17=0x00000000
             56	        24	00109ffc	00008913	addi	x18,x1,0	  x1:0x00000000 x18=0x00000000
             58	        25	0010a000	00008993	addi	x19,x1,0	  x1:0x00000000 x19=0x00000000
             60	        26	0010a004	00008a13	addi	x20,x1,0	  x1:0x00000000 x20=0x00000000
             62	        27	0010a008	00008a93	addi	x21,x1,0	  x1:0x00000000 x21=0x00000000
             64	        28	0010a00c	00008b13	addi	x22,x1,0	  x1:0x00000000 x22=0x00000000
             66	        29	0010a010	00008b93	addi	x23,x1,0	  x1:0x00000000 x23=0x00000000
             68	        30	0010a014	00008c13	addi	x24,x1,0	  x1:0x00000000 x24=0x00000000
             70	        31	0010a018	00008c93	addi	x25,x1,0	  x1:0x00000000 x25=0x00000000
             72	        32	0010a01c	00008d13	addi	x26,x1,0	  x1:0x00000000 x26=0x00000000
             74	        33	0010a020	00008d93	addi	x27,x1,0	  x1:0x00000000 x27=0x00000000
             76	        34	0010a024	00008e13	addi	x28,x1,0	  x1:0x00000000 x28=0x00000000
             78	        35	0010a028	00008e93	addi	x29,x1,0	  x1:0x00000000 x29=0x00000000
             80	        36	0010a02c	00008f13	addi	x30,x1,0	  x1:0x00000000 x30=0x00000000
             82	        37	0010a030	00008f93	addi	x31,x1,0	  x1:0x00000000 x31=0x00000000
             84	        38	0010a034	0002e117	auipc	x2,0x2e	  x2=0x00138034
             86	        39	0010a038	fcc10113	addi	x2,x2,-52	  x2:0x00138034  x2=0x00138000
             88	        40	0010a03c	00004d17	auipc	x26,0x4	 x26=0x0010e03c
             90	        41	0010a040	2ccd0d13	addi	x26,x26,716	 x26:0x0010e03c x26=0x0010e308
             92	        42	0010a044	00004d97	auipc	x27,0x4	 x27=0x0010e044
             94	        43	0010a048	33cd8d93	addi	x27,x27,828	 x27:0x0010e044 x27=0x0010e380
             96	        44	0010a04c	01bd5863	bge	x26,x27,10a05c	 x26:0x0010e308 x27:0x0010e380
             98	        45	0010a050	000d2023	sw	x0,0(x26)	 x26:0x0010e308  x0:0x00000000 PA:0x0010e308 store:0x00000000
            100	        46	0010a054	004d0d13	addi	x26,x26,4	 x26:0x0010e308 x26=0x0010e30c
            102	        47	0010a058	ffaddce3	bge	x27,x26,10a050	 x27:0x0010e380 x26:0x0010e30c
            104	        48	0010a050	000d2023	sw	x0,0(x26)	 x26:0x0010e30c  x0:0x00000000 PA:0x0010e30c store:0x00000000
            106	        49	0010a054	004d0d13	addi	x26,x26,4	 x26:0x0010e30c x26=0x0010e310
            108	        50	0010a058	ffaddce3	bge	x27,x26,10a050	 x27:0x0010e380 x26:0x0010e310
            110	        51	0010a050	000d2023	sw	x0,0(x26)	 x26:0x0010e310  x0:0x00000000 PA:0x0010e310 store:0x00000000
            112	        52	0010a054	004d0d13	addi	x26,x26,4	 x26:0x0010e310 x26=0x0010e314
            114	        53	0010a058	ffaddce3	bge	x27,x26,10a050	 x27:0x0010e380 x26:0x0010e314
            116	        54	0010a050	000d2023	sw	x0,0(x26)	 x26:0x0010e314  x0:0x00000000 PA:0x0010e314 store:0x00000000
            118	        55	0010a054	004d0d13	addi	x26,x26,4	 x26:0x0010e314 x26=0x0010e318
            120	        56	0010a058	ffaddce3	bge	x27,x26,10a050	 x27:0x0010e380 x26:0x0010e318
            122	        57	0010a050	000d2023	sw	x0,0(x26)	 x26:0x0010e318  x0:0x00000000 PA:0x0010e318 store:0x00000000
            124	        58	0010a054	004d0d13	addi	x26,x26,4	 x26:0x0010e318 x26=0x0010e31c
            126	        59	0010a058	ffaddce3	bge	x27,x26,10a050	 x27:0x0010e380 x26:0x0010e31c
